experiment_id,display_name,answer_correctness,answer_relevance,answer_token_f1,base_retrieval_latency_ms,citation_coverage,citation_misuse,citation_precision,citation_recall,contextual_precision,contextual_recall,errors,estimated_cost_usd,exact_match,expected_keyword_coverage,faithfulness,generation_latency_ms,hallucination,llm_correctness,llm_faithfulness,llm_relevance,mrr,ndcg_at_10,ndcg_at_3,ndcg_at_5,p50_total_latency_ms,p95_total_latency_ms,precision_at_10,precision_at_3,precision_at_5,queries,recall_at_10,recall_at_3,recall_at_5,refusal_correct,reranking_latency_ms,retrieval_latency_ms,total_latency_ms,total_tokens,unsupported_claim_rate,validation_latency_ms
A,Dense RAG,1.0,1.0,1.0,504.713,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0,1.0,1.0,1.0,2138.942,0.0,,,,1.0,1.0,1.0,1.0,2647.251,2647.251,0.1,0.3333333333333333,0.2,1,1.0,1.0,1.0,1.0,0.0,504.713,2647.251,847,0.0,0.0
B,Hybrid RAG,1.0,1.0,1.0,368.842,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0,1.0,1.0,1.0,944.644,0.0,,,,1.0,1.0,1.0,1.0,1315.15,1315.15,0.1,0.3333333333333333,0.2,1,1.0,1.0,1.0,1.0,0.0,368.842,1315.15,850,0.0,0.0
C,Hybrid + Reranker,1.0,1.0,1.0,507.322,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0,1.0,1.0,1.0,1195.864,0.0,,,,1.0,1.0,1.0,1.0,38832.989,38832.989,0.1,0.3333333333333333,0.2,1,1.0,1.0,1.0,1.0,37128.738,37636.06,38832.989,867,0.0,0.0
D,Hybrid + Validator,1.0,1.0,1.0,1665.093,1.0,0.0,1.0,1.0,0.1,1.0,0,0.0,1.0,1.0,1.0,872.617,0.0,,,,1.0,1.0,1.0,1.0,3567.174,3567.174,0.1,0.3333333333333333,0.2,1,1.0,1.0,1.0,1.0,1003.477,2668.57,3567.174,867,0.0,22.629
