experiment_id,display_name,answer_correctness,answer_relevance,answer_token_f1,citation_coverage,citation_misuse,citation_precision,citation_recall,contextual_precision,contextual_recall,errors,estimated_cost_usd,exact_match,expected_keyword_coverage,faithfulness,generation_latency_ms,hallucination,llm_correctness,llm_faithfulness,llm_relevance,mrr,ndcg_at_10,ndcg_at_3,ndcg_at_5,p50_total_latency_ms,p95_total_latency_ms,precision_at_10,precision_at_3,precision_at_5,queries,recall_at_10,recall_at_3,recall_at_5,refusal_correct,retrieval_latency_ms,total_latency_ms,total_tokens,unsupported_claim_rate,validation_latency_ms
A,Dense RAG,0.5846986896679481,0.41821010335023323,0.3632299839331173,0.0,0.0,0.0,0.0,0.08591549295774648,0.812206572769953,0,0.0,0.06451612903225806,0.6745743727598567,1.0,2.234387096774194,0.06451612903225806,,,,0.6464714211193086,0.6834964622685851,0.6453215090037018,0.6585568714160822,24.4105,37.209649999999975,0.08591549295774648,0.24413145539906103,0.15492957746478872,248,0.812206572769953,0.7057902973395932,0.7355242566510172,0.8991935483870968,21.87354435483871,25.511254032258066,,0.0,0.0
B,Hybrid RAG,0.5644127350799472,0.35075647374412366,0.3216623023836204,0.0,0.0,0.0,0.0,0.09530516431924883,0.9014084507042254,0,0.0,0.028225806451612902,0.7337141577060932,1.0,2.55083064516129,0.0967741935483871,,,,0.7515556300767569,0.7852429952633864,0.7481625923017777,0.7677498723957717,24.9735,34.64544999999998,0.09530516431924883,0.28169014084507044,0.17934272300469484,248,0.9014084507042254,0.8043818466353678,0.8497652582159625,0.8870967741935484,22.03163306451613,25.93768951612903,,0.0,0.0
C,Hybrid + Reranker,0.5973649200756609,0.40801069012572017,0.372092977707446,0.0,0.0,0.0,0.0,0.12441314553990611,0.9366197183098591,0,0.0,0.0846774193548387,0.7342997951868919,1.0,2.153072580645161,0.08870967741935484,,,,0.7989827856025039,0.8318285547588098,0.8081785233334143,0.8237774421750437,26.705,38.24764999999997,0.0995305164319249,0.30829420970266036,0.19342723004694837,248,0.9366197183098591,0.877151799687011,0.9139280125195618,0.875,22.793225806451613,28.14949193548387,,0.0,0.0
D,Hybrid + Validator,0.5340388438722873,0.32336122589101585,0.2867121143787451,0.8012217530690438,0.08870967741935484,0.9530516431924883,0.827073552425665,0.12441314553990611,0.9366197183098591,0,0.0,0.0,0.6922971070148489,1.0,1.977858870967742,0.08870967741935484,,,,0.7989827856025039,0.8318285547588098,0.8081785233334143,0.8237774421750437,46.4205,61.1455,0.0995305164319249,0.30829420970266036,0.19342723004694837,248,0.9366197183098591,0.877151799687011,0.9139280125195618,0.8709677419354839,22.38167338709677,47.02786693548387,,0.0,12.789056451612904
