experiment_id,display_name,answer_correctness,answer_relevance,answer_token_f1,base_retrieval_latency_ms,citation_coverage,citation_misuse,citation_precision,citation_recall,contextual_precision,contextual_recall,errors,estimated_cost_usd,exact_match,expected_keyword_coverage,faithfulness,generation_latency_ms,hallucination,llm_correctness,llm_faithfulness,llm_relevance,mrr,ndcg_at_10,ndcg_at_3,ndcg_at_5,p50_total_latency_ms,p95_total_latency_ms,precision_at_10,precision_at_3,precision_at_5,queries,recall_at_10,recall_at_3,recall_at_5,refusal_correct,reranking_latency_ms,retrieval_latency_ms,total_latency_ms,total_tokens,unsupported_claim_rate,validation_latency_ms
A,Dense RAG,0.8103164012269913,0.7837994691206491,0.7837994691206491,472.54612999999995,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0092488,0.42,0.8368333333333333,0.8622448979591837,721.1835400000001,0.14,,,,0.9725,0.9795439557235922,0.9752371901428583,0.9795439557235922,1166.2640000000001,1438.4216999999996,0.1,0.33,0.2,100,1.0,0.99,1.0,0.98,0.0,472.54612999999995,1194.7301300000001,86530,0.1377551020408163,0.0
B,Hybrid RAG,0.7911925405067278,0.7670517476801223,0.7670517476801223,497.24963,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0092308,0.41,0.8153333333333334,0.880701754385965,709.09657,0.12,,,,0.9458333333333333,0.9597811458664505,0.9554743802857166,0.9597811458664505,1128.2035,1609.4460499999998,0.1,0.33,0.2,100,1.0,0.99,1.0,0.95,0.0,497.24963,1207.4839299999999,86422,0.1192982456140351,0.0
C,Hybrid + Reranker,0.8139467404616866,0.7825601475900398,0.7825601475900398,502.86126,0.0,0.0,0.0,0.0,0.1,1.0,0,0.0092458,0.4,0.8453333333333333,0.872852233676976,699.64914,0.14,,,,0.9725,0.9795439557235922,0.9752371901428583,0.9795439557235922,1703.91,2470.9215999999997,0.1,0.33,0.2,100,1.0,0.99,1.0,0.97,821.8064999999999,1324.66776,2025.3247700000002,86431,0.12714776632302405,0.0
D,Hybrid + Validator,0.6952770589219867,0.6763874511773067,0.6763874511773067,364.52167676767675,0.9556962025316456,0.0,0.797979797979798,0.78,0.1,0.99,1,0.0090396,0.38,0.7141666666666667,0.9451476793248946,3864.9065454545457,0.050505050505050504,,,,0.9625,0.9695439557235922,0.9652371901428584,0.9695439557235922,1640.3645000000001,2510.7224999999985,0.099,0.32666666666666666,0.198,100,0.99,0.98,0.99,0.8,679.8698686868687,1044.3915454545456,4883.195925,84639,0.05485232067510548,6.257636363636363
