experiment_id,display_name,answer_correctness,answer_relevance,answer_token_f1,citation_coverage,citation_misuse,citation_precision,citation_recall,contextual_precision,contextual_recall,errors,estimated_cost_usd,exact_match,expected_keyword_coverage,faithfulness,generation_latency_ms,hallucination,llm_correctness,llm_faithfulness,llm_relevance,mrr,ndcg_at_10,ndcg_at_3,ndcg_at_5,p50_total_latency_ms,p95_total_latency_ms,precision_at_10,precision_at_3,precision_at_5,queries,recall_at_10,recall_at_3,recall_at_5,refusal_correct,retrieval_latency_ms,total_latency_ms,total_tokens,unsupported_claim_rate,validation_latency_ms
A,Dense RAG,0.5846986896679481,0.41821010335023323,0.3632299839331173,0.0,0.0,0.0,0.0,0.08591549295774648,0.812206572769953,0,0.0,0.06451612903225806,0.6745743727598567,1.0,2.2715564516129034,0.06451612903225806,,,,0.6464714211193086,0.6834964622685851,0.6453215090037018,0.6585568714160822,23.4725,31.081299999999995,0.08591549295774648,0.24413145539906103,0.15492957746478872,248,0.812206572769953,0.7057902973395932,0.7355242566510172,0.8991935483870968,21.116326612903226,24.87602822580645,,0.0,0.0
B,Hybrid RAG,0.5644848502203175,0.3509007040248643,0.32180653266436104,0.0,0.0,0.0,0.0,0.09530516431924883,0.9014084507042254,0,0.0,0.028225806451612902,0.7337141577060932,1.0,3.0501370967741934,0.0967741935483871,,,,0.7507731574632983,0.7847396584592286,0.7476592554976199,0.7672465355916139,32.370000000000005,56.824699999999986,0.09530516431924883,0.28169014084507044,0.17934272300469484,248,0.9014084507042254,0.8043818466353678,0.8497652582159625,0.8870967741935484,29.854153225806453,34.72979032258064,,0.0,0.0
C,Hybrid + Reranker,0.5974184460615702,0.4081177420975387,0.3720939176249352,0.0,0.0,0.0,0.0,0.0995305164319249,0.9366197183098591,0,0.0,0.0846774193548387,0.7342997951868919,1.0,2.3445564516129034,0.08870967741935484,,,,0.7993740219092332,0.8321540169274793,0.8105259411737898,0.8241029043437131,27.347,36.48534999999997,0.0995305164319249,0.30985915492957744,0.19342723004694837,248,0.9366197183098591,0.8818466353677622,0.9139280125195618,0.875,21.990854838709676,27.905592741935486,,0.0,0.0
D,Hybrid + Validator,0.5341936302406857,0.32367079862781273,0.2869537582397921,0.8020427711314411,0.08870967741935484,0.9530516431924883,0.827073552425665,0.0995305164319249,0.9366197183098591,0,0.0,0.0,0.6922971070148489,1.0,2.4042943548387097,0.08870967741935484,,,,0.7993740219092332,0.8321540169274793,0.8105259411737898,0.8241029043437131,46.079,67.30059999999997,0.0995305164319249,0.30985915492957744,0.19342723004694837,248,0.9366197183098591,0.8818466353677622,0.9139280125195618,0.8709677419354839,20.593584677419354,47.231044354838716,,0.0,13.82283064516129
