experiment_id,display_name,answer_correctness,answer_relevance,answer_token_f1,citation_coverage,citation_misuse,citation_precision,citation_recall,contextual_precision,contextual_recall,errors,estimated_cost_usd,exact_match,expected_keyword_coverage,faithfulness,generation_latency_ms,hallucination,llm_correctness,llm_faithfulness,llm_relevance,mrr,ndcg_at_10,ndcg_at_3,ndcg_at_5,p50_total_latency_ms,p95_total_latency_ms,precision_at_10,precision_at_3,precision_at_5,queries,recall_at_10,recall_at_3,recall_at_5,refusal_correct,retrieval_latency_ms,total_latency_ms,total_tokens,unsupported_claim_rate,validation_latency_ms
A,Dense RAG,0.5080857864421418,0.3415972001244268,0.3632299839331173,0.0,0.0,0.0,0.0,0.08591549295774648,0.812206572769953,0,0.0,0.06451612903225806,0.6745743727598567,0.8870967741935484,2.952366935483871,0.1774193548387097,,,,0.6464714211193086,0.6834964622685851,0.6453215090037018,0.6585568714160822,27.195,48.735350000000004,0.08591549295774648,0.24413145539906103,0.15492957746478872,248,0.812206572769953,0.7057902973395932,0.7355242566510172,0.8588709677419355,25.73097983870968,30.494415322580643,,0.11290322580645161,0.0
B,Hybrid RAG,0.5200578963702697,0.30640163503444623,0.3216623023836204,0.0,0.0,0.0,0.0,0.09530516431924883,0.9014084507042254,0,0.0,0.028225806451612902,0.7337141577060932,0.9395161290322581,2.7342862903225806,0.15725806451612903,,,,0.7515556300767569,0.7852429952633864,0.7481625923017777,0.7677498723957717,25.709,36.01415,0.09530516431924883,0.28169014084507044,0.17934272300469484,248,0.9014084507042254,0.8043818466353678,0.8497652582159625,0.8588709677419355,22.780826612903226,27.003689516129032,,0.06048387096774194,0.0
C,Hybrid + Reranker,0.5449455652369511,0.3555913352870105,0.372092977707446,0.0,0.0,0.0,0.0,0.12441314553990611,0.9366197183098591,0,0.0,0.0846774193548387,0.7342997951868919,0.9112903225806451,2.344572580645161,0.1774193548387097,,,,0.7989827856025039,0.8318285547588098,0.8081785233334143,0.8237774421750437,27.512999999999998,42.401849999999996,0.0995305164319249,0.30829420970266036,0.19342723004694837,248,0.9366197183098591,0.877151799687011,0.9139280125195618,0.8588709677419355,23.464145161290322,29.207092741935487,,0.08870967741935484,0.0
D,Hybrid + Validator,0.48161948903357754,0.27094187105230616,0.2867121143787451,0.7636057083240182,0.08870967741935484,0.9530516431924883,0.827073552425665,0.12441314553990611,0.9366197183098591,0,0.0,0.0,0.6922971070148489,0.907258064516129,2.0534395161290324,0.1814516129032258,,,,0.7989827856025039,0.8318285547588098,0.8081785233334143,0.8237774421750437,46.544,61.690749999999994,0.0995305164319249,0.30829420970266036,0.19342723004694837,248,0.9366197183098591,0.877151799687011,0.9139280125195618,0.8588709677419355,21.09631048387097,45.80856451612903,,0.09274193548387097,12.823008064516127
